Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Matt Darr,MIA,,,,,6,293,48.8,55,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon McManus,DEN,2,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Riley Dixon,DEN,,,,,5,231,46.2,53,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Nugent,CIN,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,5,231,46.2,53,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Catanzaro,ARI,1,1,1,1,2,66,33.0,47,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Butler,ARI,,,,,4,146,36.5,50,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,3,4,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,5,178,35.6,45,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,1,1,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,5,243,48.6,54,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jason Myers,JAX,2,2,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Nortman,JAX,,,,,6,249,41.5,49,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Blair Walsh,MIN,,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,7,339,48.4,62,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Graham Gano,CAR,1,1,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andy Lee,CAR,,,,,4,189,47.3,58,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sebastian Janikowski,OAK,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marquette King,OAK,,,,,7,326,46.6,72,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Succop,TEN,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,6,311,51.8,62,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Hopkins,WAS,2,2,5,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tress Way,WAS,,,,,2,91,45.5,56,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
